product_id,current_stock,warehouse_location,last_restock_date
SKU00000,36,WH_C,2025-12-05
SKU00001,34,WH_B,2025-12-06
SKU00002,87,WH_A,2026-01-05
SKU00003,109,WH_A,2025-12-30
SKU00004,29,WH_C,2026-01-18
SKU00005,24,WH_B,2026-01-19
SKU00006,65,WH_B,2025-12-06
SKU00007,7,WH_C,2026-01-13
SKU00008,6,WH_B,2025-12-29
SKU00009,90,WH_C,2025-12-26
SKU00010,21,WH_C,2025-12-28
SKU00011,32,WH_B,2025-12-12
SKU00012,27,WH_C,2026-01-04
SKU00013,7,WH_B,2025-12-23
SKU00014,39,WH_A,2026-01-06
SKU00015,155,WH_C,2025-12-16
SKU00016,40,WH_B,2025-12-23
SKU00017,20,WH_B,2026-01-13
SKU00018,55,WH_A,2025-12-07
SKU00019,77,WH_C,2025-12-21
SKU00020,28,WH_C,2026-01-12
SKU00021,25,WH_C,2026-01-03
SKU00022,13,WH_C,2025-12-08
SKU00023,55,WH_C,2025-12-02
SKU00024,46,WH_C,2025-12-01
SKU00025,74,WH_A,2025-12-27
SKU00026,7,WH_A,2026-01-20
SKU00027,22,WH_C,2026-01-20
SKU00028,140,WH_B,2026-01-04
SKU00029,66,WH_C,2025-12-01
SKU00030,70,WH_A,2025-12-27
SKU00031,64,WH_C,2025-12-11
SKU00032,44,WH_C,2026-01-19
SKU00033,8,WH_A,2026-01-03
SKU00034,2,WH_A,2025-12-01
SKU00035,29,WH_A,2026-01-06
SKU00036,38,WH_B,2026-01-13
SKU00037,78,WH_A,2026-01-16
SKU00038,45,WH_A,2026-01-10
SKU00039,56,WH_C,2025-12-01
SKU00040,120,WH_C,2026-01-04
SKU00041,37,WH_A,2025-12-20
SKU00042,4,WH_B,2026-01-18
SKU00043,18,WH_A,2026-01-03
SKU00044,386,WH_C,2025-12-02
SKU00045,14,WH_C,2026-01-10
SKU00046,50,WH_B,2025-12-20
SKU00047,2,WH_B,2025-12-02
SKU00048,12,WH_A,2026-01-18
SKU00049,53,WH_B,2026-01-13
SKU00050,57,WH_A,2025-12-10
SKU00051,54,WH_A,2025-12-23
SKU00052,277,WH_B,2025-12-09
SKU00053,93,WH_A,2025-12-20
SKU00054,42,WH_B,2026-01-10
SKU00055,51,WH_C,2026-01-07
SKU00056,67,WH_B,2026-01-20
SKU00057,174,WH_C,2025-12-12
SKU00058,52,WH_A,2025-12-13
SKU00059,88,WH_C,2025-12-16
SKU00060,15,WH_B,2025-12-03
SKU00061,54,WH_C,2025-12-26
SKU00062,25,WH_A,2026-01-09
SKU00063,4,WH_C,2026-01-02
SKU00064,75,WH_C,2026-01-05
SKU00065,136,WH_B,2025-12-28
SKU00066,17,WH_C,2026-01-19
SKU00067,28,WH_A,2025-12-16
SKU00068,30,WH_B,2025-12-05
SKU00069,57,WH_B,2025-12-21
SKU00070,2,WH_B,2025-12-21
SKU00071,16,WH_C,2026-01-11
SKU00072,157,WH_B,2025-12-29
SKU00073,18,WH_B,2025-12-23
SKU00074,59,WH_A,2026-01-18
SKU00075,98,WH_C,2026-01-20
SKU00076,39,WH_C,2025-12-29
SKU00077,66,WH_B,2025-12-14
SKU00078,32,WH_A,2025-12-10
SKU00079,56,WH_C,2026-01-01
SKU00080,7,WH_B,2025-12-31
SKU00081,23,WH_C,2025-12-02
SKU00082,35,WH_A,2025-12-13
SKU00083,11,WH_C,2026-01-17
SKU00084,12,WH_B,2026-01-17
SKU00085,34,WH_C,2026-01-02
SKU00086,5,WH_C,2025-12-21
SKU00087,65,WH_A,2026-01-11
SKU00088,64,WH_B,2025-12-21
SKU00089,220,WH_B,2025-12-26
SKU00090,24,WH_C,2025-12-06
SKU00091,287,WH_C,2026-01-14
SKU00092,66,WH_B,2026-01-08
SKU00093,33,WH_B,2026-01-11
SKU00094,64,WH_B,2025-12-21
SKU00095,26,WH_B,2026-01-08
SKU00096,15,WH_B,2025-12-28
SKU00097,67,WH_A,2026-01-11
SKU00098,49,WH_C,2026-01-04
SKU00099,66,WH_A,2026-01-07
SKU00100,23,WH_C,2025-12-02
SKU00101,31,WH_A,2026-01-13
SKU00102,44,WH_B,2025-12-13
SKU00103,70,WH_A,2026-01-05
SKU00104,30,WH_A,2026-01-20
SKU00105,52,WH_A,2026-01-16
SKU00106,6,WH_A,2025-12-23
SKU00107,38,WH_B,2025-12-16
SKU00108,96,WH_B,2025-12-26
SKU00109,20,WH_A,2025-12-31
SKU00110,59,WH_C,2025-12-17
SKU00111,8,WH_A,2025-12-31
SKU00112,36,WH_C,2025-12-08
SKU00113,89,WH_A,2026-01-01
SKU00114,32,WH_A,2026-01-02
SKU00115,30,WH_C,2025-12-21
SKU00116,49,WH_C,2026-01-20
SKU00117,50,WH_A,2025-12-03
SKU00118,8,WH_A,2025-12-04
SKU00119,75,WH_C,2026-01-04
SKU00120,196,WH_B,2025-12-22
SKU00121,27,WH_C,2026-01-14
SKU00122,29,WH_B,2025-12-13
SKU00123,115,WH_B,2025-12-30
SKU00124,22,WH_A,2026-01-03
SKU00125,55,WH_B,2026-01-01
SKU00126,28,WH_C,2025-12-30
SKU00127,28,WH_B,2025-12-26
SKU00128,82,WH_B,2026-01-15
SKU00129,72,WH_A,2025-12-08
SKU00130,109,WH_C,2025-12-08
SKU00131,9,WH_C,2026-01-08
SKU00132,28,WH_C,2026-01-05
SKU00133,28,WH_B,2025-12-27
SKU00134,29,WH_A,2025-12-23
SKU00135,252,WH_C,2025-12-28
SKU00136,26,WH_A,2025-12-21
SKU00137,72,WH_B,2025-12-13
SKU00138,96,WH_A,2025-12-07
SKU00139,109,WH_B,2025-12-16
SKU00140,104,WH_A,2026-01-07
SKU00141,36,WH_B,2026-01-06
SKU00142,20,WH_A,2025-12-21
SKU00143,60,WH_A,2025-12-05
SKU00144,26,WH_A,2025-12-13
SKU00145,23,WH_C,2025-12-17
SKU00146,67,WH_B,2025-12-20
SKU00147,232,WH_C,2026-01-11
SKU00148,28,WH_A,2025-12-28
SKU00149,58,WH_A,2025-12-25
SKU00150,22,WH_C,2025-12-25
SKU00151,5,WH_A,2025-12-18
SKU00152,111,WH_C,2025-12-30
SKU00153,95,WH_A,2026-01-18
SKU00154,108,WH_C,2026-01-10
SKU00155,79,WH_A,2025-12-20
SKU00156,32,WH_B,2025-12-14
SKU00157,25,WH_A,2025-12-05
SKU00158,176,WH_A,2025-12-10
SKU00159,41,WH_C,2026-01-14
SKU00160,92,WH_B,2025-12-11
SKU00161,37,WH_A,2025-12-14
SKU00162,84,WH_B,2025-12-09
SKU00163,65,WH_A,2025-12-29
SKU00164,69,WH_C,2026-01-05
SKU00165,101,WH_C,2026-01-05
SKU00166,81,WH_A,2025-12-15
SKU00167,86,WH_C,2025-12-16
SKU00168,149,WH_C,2025-12-02
SKU00169,30,WH_B,2025-12-03
SKU00170,65,WH_B,2025-12-14
SKU00171,35,WH_C,2026-01-06
SKU00172,31,WH_C,2025-12-23
SKU00173,10,WH_A,2025-12-28
SKU00174,68,WH_C,2026-01-14
SKU00175,33,WH_B,2025-12-25
SKU00176,24,WH_A,2026-01-10
SKU00177,27,WH_A,2025-12-18
SKU00178,137,WH_A,2026-01-01
SKU00179,43,WH_C,2026-01-13
SKU00180,118,WH_B,2025-12-22
SKU00181,150,WH_C,2025-12-12
SKU00182,9,WH_C,2025-12-28
SKU00183,23,WH_C,2026-01-12
SKU00184,124,WH_A,2025-12-02
SKU00185,43,WH_B,2025-12-26
SKU00186,27,WH_C,2025-12-01
SKU00187,9,WH_B,2025-12-20
SKU00188,84,WH_C,2025-12-26
SKU00189,37,WH_A,2026-01-18
SKU00190,55,WH_B,2026-01-06
SKU00191,77,WH_B,2025-12-17
SKU00192,74,WH_C,2025-12-23
SKU00193,51,WH_A,2025-12-31
SKU00194,13,WH_A,2025-12-01
SKU00195,56,WH_A,2025-12-19
SKU00196,105,WH_A,2025-12-23
SKU00197,54,WH_C,2026-01-14
SKU00198,20,WH_A,2025-12-04
SKU00199,36,WH_B,2025-12-12
SKU00200,32,WH_A,2025-12-08
SKU00201,140,WH_B,2025-12-21
SKU00202,24,WH_B,2026-01-03
SKU00203,26,WH_A,2026-01-05
SKU00204,10,WH_B,2026-01-09
SKU00205,25,WH_B,2025-12-13
SKU00206,30,WH_C,2026-01-05
SKU00207,16,WH_B,2025-12-01
SKU00208,27,WH_B,2025-12-13
SKU00209,112,WH_B,2025-12-31
SKU00210,83,WH_A,2026-01-15
SKU00211,79,WH_C,2025-12-02
SKU00212,27,WH_B,2025-12-27
SKU00213,43,WH_C,2025-12-31
SKU00214,64,WH_A,2026-01-19
SKU00215,142,WH_A,2026-01-14
SKU00216,14,WH_C,2025-12-13
SKU00217,50,WH_C,2026-01-04
SKU00218,231,WH_B,2025-12-30
SKU00219,43,WH_C,2025-12-27
SKU00220,41,WH_B,2026-01-18
SKU00221,19,WH_A,2025-12-04
SKU00222,53,WH_A,2025-12-04
SKU00223,142,WH_C,2025-12-18
SKU00224,44,WH_B,2025-12-28
SKU00225,129,WH_B,2026-01-01
SKU00226,83,WH_C,2025-12-30
SKU00227,25,WH_C,2025-12-21
SKU00228,46,WH_B,2025-12-28
SKU00229,57,WH_B,2026-01-07
SKU00230,49,WH_B,2025-12-14
SKU00231,25,WH_A,2025-12-01
SKU00232,82,WH_B,2026-01-19
