date,product_id,units_sold,revenue,discount_rate
2025-01-30,SKU00000,2,90.26,0.0
2025-01-31,SKU00000,1,45.13,0.0
2025-02-03,SKU00000,3,135.39000000000001,0.0
2025-02-04,SKU00000,2,90.26,0.0
2025-02-08,SKU00000,1,45.13,0.0
2025-02-09,SKU00000,1,45.13,0.21181876593069932
2025-02-11,SKU00000,1,45.13,0.0
2025-02-12,SKU00000,2,90.26,0.0
2025-02-13,SKU00000,1,45.13,0.0
2025-02-15,SKU00000,1,45.13,0.0
2025-02-17,SKU00000,3,135.39000000000001,0.0
2025-02-19,SKU00000,2,90.26,0.0
2025-02-20,SKU00000,1,45.13,0.1778207361170206
2025-02-21,SKU00000,1,45.13,0.0
2025-02-22,SKU00000,2,90.26,0.0
2025-02-23,SKU00000,1,45.13,0.1526183995928917
2025-02-24,SKU00000,6,270.78000000000003,0.0
2025-02-28,SKU00000,1,45.13,0.0
2025-03-01,SKU00000,4,180.52,0.2547216904464792
2025-03-02,SKU00000,3,135.39000000000001,0.0
2025-03-03,SKU00000,1,45.13,0.0
2025-03-04,SKU00000,4,180.52,0.0
2025-03-05,SKU00000,1,45.13,0.0
2025-03-06,SKU00000,3,135.39000000000001,0.0
2025-03-07,SKU00000,4,180.52,0.0
2025-03-08,SKU00000,3,135.39000000000001,0.0
2025-03-09,SKU00000,5,225.65,0.1551873740250958
2025-03-10,SKU00000,1,45.13,0.0
2025-03-11,SKU00000,4,180.52,0.0
2025-03-12,SKU00000,2,90.26,0.0
2025-03-13,SKU00000,1,45.13,0.0
2025-03-14,SKU00000,6,270.78000000000003,0.0
2025-03-15,SKU00000,5,225.65,0.0
2025-03-16,SKU00000,4,180.52,0.0
2025-03-17,SKU00000,3,135.39000000000001,0.0
2025-03-18,SKU00000,3,135.39000000000001,0.13500695736279283
2025-03-19,SKU00000,5,225.65,0.0
2025-03-20,SKU00000,2,90.26,0.0
2025-03-21,SKU00000,2,90.26,0.0
2025-03-22,SKU00000,3,135.39000000000001,0.0
2025-03-23,SKU00000,6,270.78000000000003,0.0
2025-03-24,SKU00000,4,180.52,0.0
2025-03-25,SKU00000,2,90.26,0.0
2025-03-27,SKU00000,2,90.26,0.0
2025-03-28,SKU00000,3,135.39000000000001,0.0
2025-03-29,SKU00000,4,180.52,0.0
2025-03-30,SKU00000,3,135.39000000000001,0.0
2025-03-31,SKU00000,4,180.52,0.0
2025-04-01,SKU00000,4,180.52,0.0
2025-04-02,SKU00000,6,270.78000000000003,0.0
2025-04-03,SKU00000,3,135.39000000000001,0.0
2025-04-04,SKU00000,1,45.13,0.0
2025-04-06,SKU00000,4,180.52,0.0
2025-04-07,SKU00000,2,90.26,0.0
2025-04-08,SKU00000,5,225.65,0.0
2025-04-09,SKU00000,1,45.13,0.0
2025-04-10,SKU00000,6,270.78000000000003,0.24742244958827872
2025-04-11,SKU00000,2,90.26,0.0
2025-04-12,SKU00000,2,90.26,0.0
2025-04-13,SKU00000,6,270.78000000000003,0.0
2025-04-14,SKU00000,6,270.78000000000003,0.0
2025-04-15,SKU00000,2,90.26,0.2911559368124963
2025-04-16,SKU00000,4,180.52,0.27141786745410257
2025-04-17,SKU00000,5,225.65,0.0
2025-04-18,SKU00000,3,135.39000000000001,0.0
2025-04-19,SKU00000,11,496.43,0.0
2025-04-20,SKU00000,2,90.26,0.0
2025-04-22,SKU00000,3,135.39000000000001,0.0
2025-04-25,SKU00000,2,90.26,0.0
2025-04-26,SKU00000,4,180.52,0.0
2025-04-28,SKU00000,5,225.65,0.0
2025-04-29,SKU00000,3,135.39000000000001,0.0
2025-05-02,SKU00000,4,180.52,0.23482061208896693
2025-05-03,SKU00000,1,45.13,0.1723204651665361
2025-05-04,SKU00000,8,361.04,0.15256980692914002
2025-05-05,SKU00000,1,45.13,0.0
2025-05-06,SKU00000,1,45.13,0.18478857608218857
2025-05-07,SKU00000,1,45.13,0.0
2025-05-09,SKU00000,3,135.39000000000001,0.0
2025-05-10,SKU00000,3,135.39000000000001,0.0
2025-05-11,SKU00000,3,135.39000000000001,0.0
2025-05-12,SKU00000,5,225.65,0.0
2025-05-13,SKU00000,1,45.13,0.0
2025-05-15,SKU00000,5,225.65,0.0
2025-05-16,SKU00000,5,225.65,0.18430413380205307
2025-05-18,SKU00000,1,45.13,0.0
2025-05-19,SKU00000,1,45.13,0.0
2025-05-21,SKU00000,2,90.26,0.0
2025-05-22,SKU00000,2,90.26,0.13266837605839427
2025-05-23,SKU00000,5,225.65,0.0
2025-05-24,SKU00000,5,225.65,0.24891864409246525
2025-05-25,SKU00000,6,270.78000000000003,0.0
2025-05-26,SKU00000,2,90.26,0.0
2025-05-27,SKU00000,3,135.39000000000001,0.0
2025-05-29,SKU00000,2,90.26,0.0
2025-05-30,SKU00000,5,225.65,0.0
2025-05-31,SKU00000,5,225.65,0.0
2025-06-01,SKU00000,1,45.13,0.0
2025-06-02,SKU00000,1,45.13,0.0
2025-06-03,SKU00000,1,45.13,0.22273275447863872
2025-06-06,SKU00000,2,90.26,0.0
2025-06-08,SKU00000,1,45.13,0.0
2025-06-09,SKU00000,2,90.26,0.0
2025-06-11,SKU00000,1,45.13,0.0
2025-06-12,SKU00000,1,45.13,0.0
2025-06-13,SKU00000,3,135.39000000000001,0.0
2025-06-15,SKU00000,2,90.26,0.0
2025-06-16,SKU00000,1,45.13,0.0
2025-06-17,SKU00000,1,45.13,0.2708423689351992
2025-06-22,SKU00000,4,180.52,0.0
2025-06-24,SKU00000,1,45.13,0.0
2025-06-25,SKU00000,1,45.13,0.254186741109211
2025-06-26,SKU00000,1,45.13,0.0
2025-06-27,SKU00000,1,45.13,0.0
2025-06-28,SKU00000,1,45.13,0.0
2025-06-29,SKU00000,2,90.26,0.0
2025-06-30,SKU00000,2,90.26,0.0
2025-07-01,SKU00000,1,45.13,0.0
2025-07-02,SKU00000,1,45.13,0.17136824855263352
2025-07-04,SKU00000,3,135.39000000000001,0.0
2025-07-05,SKU00000,1,45.13,0.0
2025-07-06,SKU00000,1,45.13,0.28969722643140383
2025-07-07,SKU00000,1,45.13,0.0
2025-07-08,SKU00000,3,135.39000000000001,0.0
2025-07-10,SKU00000,2,90.26,0.0
2025-07-11,SKU00000,4,180.52,0.0
2025-07-12,SKU00000,3,135.39000000000001,0.0
2025-07-15,SKU00000,2,90.26,0.10211116373552731
2025-07-16,SKU00000,1,45.13,0.0
2025-07-17,SKU00000,3,135.39000000000001,0.0
2025-07-18,SKU00000,1,45.13,0.0
2025-07-20,SKU00000,7,315.91,0.0
2025-07-22,SKU00000,1,45.13,0.0
2025-07-23,SKU00000,2,90.26,0.0
2025-07-24,SKU00000,1,45.13,0.0
2025-07-27,SKU00000,2,90.26,0.0
2025-07-28,SKU00000,2,90.26,0.0
2025-07-29,SKU00000,1,45.13,0.0
2025-08-02,SKU00000,3,135.39000000000001,0.0
2025-08-06,SKU00000,1,45.13,0.12732480658530487
2025-08-08,SKU00000,1,45.13,0.0
2025-08-09,SKU00000,2,90.26,0.0
2025-08-10,SKU00000,3,135.39000000000001,0.2939432435258787
2025-08-11,SKU00000,1,45.13,0.0
2025-08-14,SKU00000,2,90.26,0.11803939662975622
2025-08-15,SKU00000,1,45.13,0.0
2025-08-21,SKU00000,1,45.13,0.2501139163250387
2025-08-23,SKU00000,2,90.26,0.0
2025-09-04,SKU00000,1,45.13,0.2470645558401882
2025-09-06,SKU00000,2,90.26,0.0
2025-09-07,SKU00000,2,90.26,0.0
2025-09-09,SKU00000,2,90.26,0.0
2025-09-13,SKU00000,1,45.13,0.0
2025-09-14,SKU00000,1,45.13,0.23333895685939227
2025-09-17,SKU00000,2,90.26,0.2588780794681609
2025-09-18,SKU00000,1,45.13,0.0
2025-09-20,SKU00000,1,45.13,0.0
2025-09-28,SKU00000,2,90.26,0.0
2025-09-29,SKU00000,1,45.13,0.17110353506293133
2025-10-01,SKU00000,1,45.13,0.19756857638459596
2025-10-02,SKU00000,1,45.13,0.0
2025-10-05,SKU00000,1,45.13,0.0
2025-10-08,SKU00000,2,90.26,0.0
2025-10-16,SKU00000,1,45.13,0.0
2025-10-17,SKU00000,1,45.13,0.0
2025-10-18,SKU00000,1,45.13,0.20622748606655816
